photo_id,airline,aircraft_model,aircraft_variant,aircraft_family,aircraft_manufacturer,registration,msn,location,date,photographer,image_filename,caption
8040917,AJet,Airbus A320-271N,Airbus A320-100/-200/A320 NEO (A320/A20N),Airbus A320,Airbus,TC-LUZ,11446,Istanbul - Sabiha Gokcen (SAW / LTFJ),"February 18, 2026",Ilgaz DEGER,8040917.jpg,
8061373,AJet,Airbus A320-271N,Airbus A320-100/-200/A320 NEO (A320/A20N),Airbus A320,Airbus,TC-LUL,11090,Istanbul - Sabiha Gokcen (SAW / LTFJ),"August 31, 2025",Ilgaz DEGER,8061373.jpg,
8060551,AJet,Airbus A320-271N,Airbus A320-100/-200/A320 NEO (A320/A20N),Airbus A320,Airbus,TC-LBH,9467,Istanbul - Sabiha Gokcen (SAW / LTFJ),"March 17, 2026",Ilgaz DEGER,8060551.jpg,First time on database.
8072313,AJet,Airbus A320-271N,Airbus A320-100/-200/A320 NEO (A320/A20N),Airbus A320,Airbus,TC-LBB,11361,Istanbul - Sabiha Gokcen (SAW / LTFJ),"April 5, 2026",Ilgaz DEGER,8072313.jpg,
8032091,AJet,Airbus A320-271N,Airbus A320-100/-200/A320 NEO (A320/A20N),Airbus A320,Airbus,TC-LBZ,8896,Istanbul - Sabiha Gokcen (SAW / LTFJ),"February 4, 2026",Ilgaz DEGER,8032091.jpg,First time on database.
8059043,AJet,Airbus A321-232,Airbus A321-100/-200/A321 NEO (A321/A21N),Airbus A320,Airbus,TC-GPB,3527,Dusseldorf - International (Rhein-Ruhr / Lohausen) (DUS / EDDL),"February 25, 2025",Udo K. Haafke,8059043.jpg,
8068253,AJet,Airbus A321-271NX,Airbus A321-100/-200/A321 NEO (A321/A21N),Airbus A320,Airbus,TC-LUM,10973,Frankfurt am Main (Rhein-Main AB) (FRA / EDDF / FRF),"January 16, 2026",Viktor Horst,8068253.jpg,
8072873,AJet,Airbus A321-271NX,Airbus A321-100/-200/A321 NEO (A321/A21N),Airbus A320,Airbus,TC-LTZ,11249,Istanbul - Sabiha Gokcen (SAW / LTFJ),"April 6, 2026",Ilgaz DEGER,8072873.jpg,
8080417,AJet,Airbus A321-271NX,Airbus A321-100/-200/A321 NEO (A321/A21N),Airbus A320,Airbus,TC-NDO,8968,Istanbul - Sabiha Gokcen (SAW / LTFJ),"April 18, 2026",Ilgaz DEGER,8080417.jpg,
8026943,AJet,Airbus A321-271NX,Airbus A321-100/-200/A321 NEO (A321/A21N),Airbus A320,Airbus,TC-LUJ,10883,Dusseldorf - International (Rhein-Ruhr / Lohausen) (DUS / EDDL),"January 22, 2026",Udo K. Haafke,8026943.jpg,
8034315,AJet,Airbus A321-232,Airbus A321-100/-200/A321 NEO (A321/A21N),Airbus A320,Airbus,TC-GPD,3322,Stockholm - Arlanda (ARN / ESSA),"February 9, 2026",Stefan Sjogren - Stockholm Arlanda Photography,8034315.jpg,Flight TKJ5BU from Istanbul SAW is approaching runway 26
8067409,AJet,Airbus A321-271NX,Airbus A321-100/-200/A321 NEO (A321/A21N),Airbus A320,Airbus,TC-NDE,8906,Istanbul - Sabiha Gokcen (SAW / LTFJ),"March 28, 2026",Ilgaz DEGER,8067409.jpg,First time on database.
8089521,AJet,Airbus A321-271NX,Airbus A321-100/-200/A321 NEO (A321/A21N),Airbus A320,Airbus,TC-LTY,11390,Budapest - Ferenc Liszt (Ferihegy) (BUD / LHBP),"April 3, 2026",Szabo Gabor,8089521.jpg,
8074279,AJet,Airbus A321-271NX,Airbus A321-100/-200/A321 NEO (A321/A21N),Airbus A320,Airbus,TC-NDO,8968,Istanbul - Sabiha Gokcen (SAW / LTFJ),"April 6, 2026",Nurettin Sevdik,8074279.jpg,
8025071,AJet,Airbus A321-231,Airbus A321-100/-200/A321 NEO (A321/A21N),Airbus A320,Airbus,TC-GPG,2261,Frankfurt am Main (Rhein-Main AB) (FRA / EDDF / FRF),"January 24, 2026",Konstantin von Wedelstaedt,8025071.jpg,
8080423,AJet,Airbus A321-271NX,Airbus A321-100/-200/A321 NEO (A321/A21N),Airbus A320,Airbus,TC-LTZ,11249,Istanbul - Sabiha Gokcen (SAW / LTFJ),"April 18, 2026",Ilgaz DEGER,8080423.jpg,
8069069,AJet,Airbus A321-271NX,Airbus A321-100/-200/A321 NEO (A321/A21N),Airbus A320,Airbus,TC-LUI,10756,Istanbul - Sabiha Gokcen (SAW / LTFJ),"March 27, 2026",Ilgaz DEGER,8069069.jpg,
8059443,AJet,Airbus A321-271NX,Airbus A321-100/-200/A321 NEO (A321/A21N),Airbus A320,Airbus,TC-LUA,10128,Budapest - Ferenc Liszt (Ferihegy) (BUD / LHBP),"March 15, 2026",Ferenc Hamori,8059443.jpg,13R
8054595,AJet,Airbus A321-271NX,Airbus A321-100/-200/A321 NEO (A321/A21N),Airbus A320,Airbus,TC-LUA,10128,Paris - Charles de Gaulle (Roissy) (CDG / LFPG),"February 17, 2026",N94504,8054595.jpg,Flight TKJ10 to Istanbul (SAW/LTFJ) departs runway 27L.
8047141,AJet,Airbus A321-231,Airbus A321-100/-200/A321 NEO (A321/A21N),Airbus A320,Airbus,TC-GPE,2916,Frankfurt am Main (Rhein-Main AB) (FRA / EDDF / FRF),"February 28, 2026",Konstantin von Wedelstaedt,8047141.jpg,
8067987,AJet,Airbus A321-271NX,Airbus A321-100/-200/A321 NEO (A321/A21N),Airbus A320,Airbus,TC-LUI,10756,Brussels - National (Zaventem) / Melsbroek (BRU / EBBR / EBMB),"March 29, 2026",Mark Mahu,8067987.jpg,
8104281,AJet,737-8 MAX,Boeing 737-800/Boeing 737 MAX 8 (B738/B38M),Boeing 737,Boeing,TC-OHC,65228,Konya (KYA / LTAN),"April 26, 2026",Ali Mithat Ozdogan,8104281.jpg,
8070475,AJet,Boeing 737-8 MAX,Boeing 737-800/Boeing 737 MAX 8 (B738/B38M),Boeing 737,Boeing,TC-OHB,65235,Saragossa (ZAZ / LEZG),"April 1, 2026",Ricardo Aysa Calahorra,8070475.jpg,TKJ5900 on short final to RWY 30R coming from Istanbul (SAW).
8049331,AJet,Boeing 737-8F2,Boeing 737-800/Boeing 737 MAX 8 (B738/B38M),Boeing 737,Boeing,TC-JFH,29770,Dusseldorf - International (Rhein-Ruhr / Lohausen) (DUS / EDDL),"February 25, 2025",Helmut Schnichels,8049331.jpg,
8041333,AJet,Boeing 737-8F2,Boeing 737-800/Boeing 737 MAX 8 (B738/B38M),Boeing 737,Boeing,TC-JGU,34418,Istanbul - Sabiha Gokcen (SAW / LTFJ),"February 18, 2026",Ilgaz DEGER,8041333.jpg,
8080151,AJet,Boeing 737-8 MAX,Boeing 737-800/Boeing 737 MAX 8 (B738/B38M),Boeing 737,Boeing,TC-OHO,66765,Renton - Municipal (RNT / KRNT),"April 18, 2026",powwwiii,8080151.jpg,
8079853,AJet,Boeing 737-8 MAX,Boeing 737-800/Boeing 737 MAX 8 (B738/B38M),Boeing 737,Boeing,TC-OHL,66759,Vienna - Schwechat (VIE / LOWW),"April 18, 2026",Wolfgang Kaiser,8079853.jpg,delivered February 2026
8092971,AJet,Boeing 737-8 MAX,Boeing 737-800/Boeing 737 MAX 8 (B738/B38M),Boeing 737,Boeing,TC-OHT,60719,Konya (KYA / LTAN),"May 8, 2026",Ali Mithat Ozdogan,8092971.jpg,
8058877,AJet,Boeing 737-8F2,Boeing 737-800/Boeing 737 MAX 8 (B738/B38M),Boeing 737,Boeing,TC-JHE,35744,Frankfurt am Main (Rhein-Main AB) (FRA / EDDF / FRF),"June 29, 2024",Manu Aldana,8058877.jpg,
8058531,AJet,Boeing 737-8F2,Boeing 737-800/Boeing 737 MAX 8 (B738/B38M),Boeing 737,Boeing,TC-JFH,29770,Berlin Brandenburg - Willy Brandt (BER / EDDB),"March 15, 2026",Patrick Schwarzschulz,8058531.jpg,"""Ada Kıbrıs"" sticker"
8092521,AJet,Boeing 737-8 MAX,Boeing 737-800/Boeing 737 MAX 8 (B738/B38M),Boeing 737,Boeing,TC-OHU,62937,Istanbul - Sabiha Gokcen (SAW / LTFJ),"May 6, 2026",Ilgaz DEGER,8092521.jpg,First time on database.
8117703,AJet,Boeing 737-8 MAX,Boeing 737-800/Boeing 737 MAX 8 (B738/B38M),Boeing 737,Boeing,TC-VFA,66766,Istanbul - Sabiha Gokcen (SAW / LTFJ),"June 12, 2026",Nurettin Sevdik,8117703.jpg,
8063717,AJet,Boeing 737-8JP(WL),Boeing 737-800/Boeing 737 MAX 8 (B738/B38M),Boeing 737,Boeing,TC-JZT,39032,Istanbul - Sabiha Gokcen (SAW / LTFJ),"March 17, 2026",Ilgaz DEGER,8063717.jpg,
8075421,AJet,Boeing 737-8JP,Boeing 737-800/Boeing 737 MAX 8 (B738/B38M),Boeing 737,Boeing,TC-JZS,39031,Istanbul - Sabiha Gokcen (SAW / LTFJ),"April 12, 2026",Nurettin Sevdik,8075421.jpg,
8073313,AJet,Boeing 737-86N(WL),Boeing 737-800/Boeing 737 MAX 8 (B738/B38M),Boeing 737,Boeing,TC-JKY,32736,Saragossa (ZAZ / LEZG),"April 5, 2025",Ricardo Aysa Calahorra,8073313.jpg,TKJ5900 from Istanbul (SAW) on short final for RWY 30R.
8072321,AJet,Boeing 737-8JP,Boeing 737-800/Boeing 737 MAX 8 (B738/B38M),Boeing 737,Boeing,TC-JZO,39027,Istanbul - Sabiha Gokcen (SAW / LTFJ),"April 5, 2026",Ilgaz DEGER,8072321.jpg,
8055553,AJet,Boeing 737-8 MAX,Boeing 737-800/Boeing 737 MAX 8 (B738/B38M),Boeing 737,Boeing,TC-LAH,61845,Cologne / Bonn (- Konrad Adenauer / Wahn) (CGN / EDDK),"March 1, 2026",Christian Schürmann,8055553.jpg,
8088807,AJet,Boeing 737-8 MAX,Boeing 737-800/Boeing 737 MAX 8 (B738/B38M),Boeing 737,Boeing,TC-OHM,66309,Hanover (- Langenhagen) (HAJ / EDDV),"May 2, 2026",Florian Resech,8088807.jpg,
8053873,AJet,Boeing 737-8 MAX,Boeing 737-800/Boeing 737 MAX 8 (B738/B38M),Boeing 737,Boeing,TC-LAG,61810,Vienna - Schwechat (VIE / LOWW),"March 10, 2026",Wolfgang Kaiser,8053873.jpg,New livery!
8097063,AJet,Boeing 737-8 MAX,Boeing 737-800/Boeing 737 MAX 8 (B738/B38M),Boeing 737,Boeing,TC-OHN,66760,Istanbul - Sabiha Gokcen (SAW / LTFJ),"May 13, 2026",Ilgaz DEGER,8097063.jpg,First time on database.
8016281,AJet,Boeing 737-8F2,Boeing 737-800/Boeing 737 MAX 8 (B738/B38M),Boeing 737,Boeing,TC-JFE,29767,Frankfurt am Main (Rhein-Main AB) (FRA / EDDF / FRF),"November 16, 2025",Viktor Horst,8016281.jpg,
8110071,AJet,Boeing 737-8 MAX,Boeing 737-800/Boeing 737 MAX 8 (B738/B38M),Boeing 737,Boeing,TC-OHA,65213,Konya (KYA / LTAN),"June 2, 2026",Ali Mithat Ozdogan,8110071.jpg,
8131565,AJet,Boeing 737-8 MAX,Boeing 737-800/Boeing 737 MAX 8 (B738/B38M),Boeing 737,Boeing,TC-VFE,65194,Istanbul - Sabiha Gokcen (SAW / LTFJ),"July 2, 2026",Ilgaz DEGER,8131565.jpg,First time on database.
8127395,AJet,Boeing 737-8 MAX,Boeing 737-800/Boeing 737 MAX 8 (B738/B38M),Boeing 737,Boeing,TC-VFK,62961,Antalya (AYT / LTAI),"June 27, 2026",Mehmet Mustafa Celik,8127395.jpg,
8091373,AJet,Boeing 737-8 MAX,Boeing 737-800/Boeing 737 MAX 8 (B738/B38M),Boeing 737,Boeing,TC-OHI,66763,Frankfurt am Main (Rhein-Main AB) (FRA / EDDF / FRF),"April 6, 2026",Viktor Horst,8091373.jpg,
8062229,AJet,Boeing 737-8 MAX,Boeing 737-800/Boeing 737 MAX 8 (B738/B38M),Boeing 737,Boeing,TC-OHT,60719,Munich (- Franz Josef Strauss) (MUC / EDDM),"March 18, 2026",M. Oswald,8062229.jpg,
8117457,AJet,Boeing 737-8 MAX,Boeing 737-800/Boeing 737 MAX 8 (B738/B38M),Boeing 737,Boeing,TC-VFI,62940,Istanbul - Sabiha Gokcen (SAW / LTFJ),"June 12, 2026",Nurettin Sevdik,8117457.jpg,
8035743,AJet,Boeing 737-8F2,Boeing 737-800/Boeing 737 MAX 8 (B738/B38M),Boeing 737,Boeing,TC-JHE,35744,Istanbul - Sabiha Gokcen (SAW / LTFJ),"February 8, 2026",Ilgaz DEGER,8035743.jpg,
8101879,AJet,Boeing 737-8 MAX,Boeing 737-800/Boeing 737 MAX 8 (B738/B38M),Boeing 737,Boeing,TC-OHP,66310,Vienna - Schwechat (VIE / LOWW),"May 18, 2026",M. Oswald,8101879.jpg,
8085845,AJet,Boeing 737-8 MAX,Boeing 737-800/Boeing 737 MAX 8 (B738/B38M),Boeing 737,Boeing,TC-VFB,66422,Istanbul - Sabiha Gokcen (SAW / LTFJ),"April 26, 2026",Ilgaz DEGER,8085845.jpg,First time on database.
8022451,AJet,Boeing 737-8F2,Boeing 737-800/Boeing 737 MAX 8 (B738/B38M),Boeing 737,Boeing,TC-JFT,29780,Hanover (- Langenhagen) (HAJ / EDDV),"January 22, 2026",Bernd Borchert,8022451.jpg,
